Latitude,Longitude,Predictions
-5.87958,14.98625,7.503984427960921
67.29542,14.72792,1.065137901961844
58.37875,-134.63042,0.6526015201256196
55.05375,58.97792,3.6443701125033012
53.18708,8.23625,1.5766489777876194
46.28708,-96.61375,0.7553745249379453
45.83708,130.85292,5.153218926123496
8.58708,-74.23875,6.7627901313936585
55.34542,86.14458,4.0323625026914725
39.75375,-7.93042,1.9219707401390402
8.72042,-75.88042,5.32790491008813
11.58708,37.38625,7.270193931325649
43.68708,51.23625,3.6658940289883786
3.60375,98.66958,6.242038083934266
51.24542,58.59458,3.636170102100214
30.86208,61.73625,5.497801947748016
47.24542,39.69458,2.847120897483301
29.35375,48.01125,1.905933238788909
54.94542,43.36958,3.6471932550888018
-39.02125,-67.56375,3.9197488290879643
0.54542,123.06125,6.294017105792606
-3.27958,37.58625,7.400670422380048
25.36208,74.61958,6.151289410043679
26.77875,104.60292,5.4200196873792486
-6.82958,106.05292,6.090666737984135
-9.53792,16.32792,7.2295630343290185
41.12042,25.40292,2.4642559115221037
34.00375,-85.98875,5.002908590702756
31.31208,48.65292,3.9785119878693016
59.67875,56.79458,3.7652077051029766
-4.43792,28.09458,8.10882789082653
51.26208,37.60292,3.6961337346383263
-28.66292,-49.43042,2.4877347426718517
-8.75458,-38.96375,6.092544887479286
13.96208,107.99458,5.163026601414817
38.97042,-94.68875,0.5542088163756147
33.64542,42.80292,7.257167599901767
69.01208,33.09458,3.3512495380989975
37.67042,120.58625,4.947642613230975
62.36208,50.06125,3.6750279620820043
19.47875,30.46125,6.5149686464669365
43.94542,81.28625,4.38711128002205
57.67042,13.43625,1.0311209347494954
2.18708,22.45292,8.194134249709819
-7.97958,31.63625,7.553239290761611
28.08708,-80.62208,1.3748800609513279
18.34542,105.88625,5.062788220815963
-5.62125,-63.18042,6.472728342617257
53.42875,-2.23042,1.0040772640519917
-9.08792,-78.56375,6.255211002182844
-33.27958,149.09458,0.5115895025053976
8.49542,-7.31375,7.400618370757703
52.07875,23.60292,2.075833842452896
46.55375,-87.38875,1.020231135149281
26.87042,89.36958,3.8156178316705702
44.56208,120.89458,5.163840564923867
19.67042,-155.08875,0.8188908705066665
18.14542,76.59458,6.44181800785722
-2.97125,104.76958,5.944180249429216
25.36208,60.61125,5.5916956152315125
38.21208,-85.79708,4.858536645905062
21.73708,81.94458,6.289220400100699
