Latitude,Longitude,Predictions
-5.87958,14.98625,4.119070965800182
67.29542,14.72792,5.824329853857616
58.37875,-134.63042,7.120044607443224
55.05375,58.97792,5.729032001166106
53.18708,8.23625,6.485896173801579
46.28708,-96.61375,5.006820521468888
45.83708,130.85292,5.664295727888807
8.58708,-74.23875,4.935048742037677
55.34542,86.14458,5.638452993404354
39.75375,-7.93042,6.5456591921033285
8.72042,-75.88042,5.837601664476508
11.58708,37.38625,6.738600869780685
43.68708,51.23625,6.154187952703367
3.60375,98.66958,6.292696352571989
51.24542,58.59458,5.845402842499784
30.86208,61.73625,5.861683574672924
47.24542,39.69458,6.154554915429548
29.35375,48.01125,6.797104668870155
54.94542,43.36958,5.810117487032064
-39.02125,-67.56375,5.834715687513079
0.54542,123.06125,6.1636384198099305
-3.27958,37.58625,5.205525054577863
25.36208,74.61958,6.199155757487447
26.77875,104.60292,5.661713990990109
-6.82958,106.05292,5.499093914271429
-9.53792,16.32792,4.38376849816078
41.12042,25.40292,5.984769694961134
34.00375,-85.98875,5.685628315837928
31.31208,48.65292,6.255168838915784
59.67875,56.79458,5.410697804442833
-4.43792,28.09458,3.828963271651986
51.26208,37.60292,5.819635450495902
-28.66292,-49.43042,6.078626658708637
-8.75458,-38.96375,5.367899608365203
13.96208,107.99458,6.0888381729287815
38.97042,-94.68875,6.970781532472481
33.64542,42.80292,4.936319643193546
69.01208,33.09458,5.578647226639387
37.67042,120.58625,5.741950043669209
62.36208,50.06125,5.585314693434767
19.47875,30.46125,5.570160113585657
43.94542,81.28625,5.553475837254974
57.67042,13.43625,6.392369689978036
2.18708,22.45292,4.070566501384093
-7.97958,31.63625,4.414230498771879
28.08708,-80.62208,6.929919978237661
18.34542,105.88625,5.791446669989928
-5.62125,-63.18042,5.174368750986114
53.42875,-2.23042,7.05031877199661
-9.08792,-78.56375,5.14635602941706
-33.27958,149.09458,6.833271822758274
8.49542,-7.31375,5.127469245520531
52.07875,23.60292,5.5844558542170954
46.55375,-87.38875,6.79032810960157
26.87042,89.36958,6.7606170816065125
44.56208,120.89458,5.130620662789074
19.67042,-155.08875,7.341123969934525
18.14542,76.59458,5.986670638069519
-2.97125,104.76958,5.934410784758388
25.36208,60.61125,5.966993630637635
38.21208,-85.79708,5.428388897158372
21.73708,81.94458,5.891247905028833
6.95375,79.86958,6.2511189227446256
19.79542,-70.70542,6.010828298030461
15.24542,-9.56375,3.9377585554479184
21.86208,-78.75542,5.736352670692657
-29.96292,-71.26375,6.34742755010162
54.12042,-9.15542,6.400651863742396
37.38708,-5.97208,7.29421175298174
43.43708,16.85292,5.819032343450321
31.27875,30.01125,6.525610791428587
3.46208,35.91958,5.0132200329288965
44.87042,65.50292,6.499687219709965
50.51208,12.12792,6.4450342174577075
5.72042,36.59458,5.710442153379833
43.68708,-70.29708,6.727305949626115
5.94542,8.72792,5.247827224499982
-25.00458,44.19458,5.145633039918071
52.42875,30.98625,5.805635810889802
6.87875,101.24458,6.064149171358313
-10.59625,35.67792,4.883890356924107
-29.78792,-55.78875,6.385507908116018
31.59542,44.57792,4.355379127459021
22.99542,102.39458,5.720497211373499
25.80375,110.00292,5.8541782912037155
48.49542,135.06958,6.25764751613908
7.19542,35.41958,5.103493081131125
24.56208,115.89458,5.3830117455479085
25.79542,-100.59708,6.3128081004441565
5.10375,7.36958,5.5297060303475645
19.67042,97.21958,6.038006872271625
-11.02125,-40.29708,5.373429845781852
10.92042,-74.78042,5.980483575755077
-22.02125,-47.42208,6.452622997683111
34.12042,-116.41375,6.701762557993667
19.56208,103.41125,5.881480752485319
39.10375,-108.49708,6.067025147865656
21.13708,79.09458,6.32751404161498
55.57042,41.99458,5.695497644121027
-3.21292,-52.22208,5.022378262160494
36.68708,137.24458,6.271725854231992
-31.72125,-55.98042,5.790985949161526
51.08708,71.38625,6.551648931859539
30.01208,-90.18875,6.526316874025752
4.37042,18.54458,4.249521266502591
-11.65458,29.61125,5.3797937088285455
13.56208,2.07792,4.966411974886011
56.64542,47.87792,5.970333962648003
51.54542,46.01125,6.071868540001066
27.99542,45.62792,6.1512817185939825
-7.62125,-78.03875,5.987747258041438
-9.97125,-67.84708,6.027529340550884
22.10375,71.41125,5.594721469696258
39.70375,119.18625,5.495346528107
56.23708,90.51125,5.968675613440937
-2.50458,32.90292,6.571083572971387
51.32042,9.45292,6.774887627499267
36.66208,5.18625,5.018855557819587
60.11208,64.76125,5.602283562665094
45.20375,12.29458,7.124600105864975
-24.94625,-53.48875,6.275234305433647
28.92875,118.88625,5.593941459850867
27.18708,75.70292,5.94806629415067
40.52875,72.80292,5.7280494324011135
-19.25458,17.69458,5.510916825230059
11.15375,20.40292,5.316212211224325
39.98708,116.44458,6.5764969303016025
-20.05458,48.71958,4.941184255425621
22.24542,84.84458,6.005434714964523
38.30375,-83.17208,5.218200078901243
51.90375,85.99458,5.388095715708298
22.56208,99.91125,6.264828652473398
-4.92958,22.05292,4.998357886707178
31.02875,-114.83042,6.280999488535601
-23.39625,47.46125,5.610983620412375
39.55375,2.73625,6.9864904271073245
-5.53792,12.23625,5.761814554003098
52.02875,123.58625,5.106780018331021
-36.79625,-73.06375,6.6717393681582
-0.88792,119.88625,6.176579206795423
-14.33792,-170.74708,5.870709594003836
23.22875,-106.42208,6.827093810255154
39.12042,111.16125,5.308954275102641
45.01208,78.42792,5.609830733369215
-11.42958,-61.43875,5.759609276777375
30.03708,70.63625,5.689542825082221
66.08708,76.71125,6.456784349441932
29.38708,113.86958,6.034684303189123
34.12875,50.01125,6.03189541430297
39.22042,9.12792,7.1113036275029415
31.40375,-103.55542,4.995952090852287
-16.47958,-54.65542,5.436615576179242
25.90375,93.73625,6.020228882682868
35.92875,114.84458,5.570982798918385
17.42875,-96.53875,6.2295243265421325
65.67042,-18.09708,7.142280391045817
53.00375,63.14458,6.339412807032204
-33.88792,151.20292,7.437035419807292
35.62875,102.06958,5.698877205878227
18.24542,42.68625,5.680493988382134
-31.57125,-68.53875,6.2714604078656535
27.29542,33.73625,6.222444316578123
