Latitude,Longitude,Predictions
38.03708,-122.54708,7.483021089987098
38.03708,-122.52208,7.141040527920147
38.03708,-122.26375,6.666228200098832
38.03708,-121.98875,6.240020798527799
38.03708,-121.97208,6.623626872956873
38.03708,-121.88042,6.573419935119514
38.02875,-122.53875,7.361322289540516
38.02875,-122.51375,7.367817786850924
38.02875,-122.27208,7.000067882213495
38.02875,-122.24708,6.429042268339255
38.02875,-122.18042,6.975068288872414
38.02875,-122.13875,7.012823230651387
38.02875,-122.03042,6.827747184114003
38.02875,-121.99708,6.3455311641598655
38.02875,-121.98042,6.1713753005585215
38.02875,-121.95542,6.279007506902981
38.02875,-121.93875,5.930173529247899
38.02875,-121.90542,6.189528951152822
38.02875,-121.88875,6.127392373859476
38.02875,-121.85542,6.264788470887869
38.02042,-122.54708,7.654811632292415
38.02042,-122.53042,7.300119709760759
38.02042,-122.50542,7.349940669196814
38.02042,-122.25542,6.829546900037251
38.02042,-122.09708,6.776708047026147
38.02042,-122.02208,6.887471783822703
38.02042,-121.98875,6.256413500432816
38.02042,-121.91375,6.149046761364342
38.02042,-121.89708,6.428820072316004
38.02042,-121.88042,6.326407775072582
38.02042,-121.82208,6.142791932914423
38.01208,-122.53875,7.245260210122079
38.01208,-122.51375,7.282373590524733
38.01208,-122.31375,7.192163881550492
38.01208,-122.28042,6.952582139316411
38.01208,-122.18875,6.919514089605846
38.01208,-122.14708,7.034431758042203
38.01208,-122.13042,6.981787919936393
38.01208,-122.10542,7.1230986393614195
38.01208,-122.08875,7.014945817176658
38.01208,-122.03042,6.544040626052126
38.01208,-121.98042,5.903382610268893
38.01208,-121.96375,6.42123708897997
38.01208,-121.94708,6.19278168150377
38.01208,-121.93042,6.42352475759534
38.01208,-121.90542,6.760498105787455
38.01208,-121.88875,6.373530056871533
38.01208,-121.86375,6.384386152360287
38.01208,-121.81375,6.106481740943533
38.01208,-121.78875,6.406434801878144
38.00375,-122.54708,7.41540208774421
38.00375,-122.52208,7.263446415653918
38.00375,-122.50542,7.6211506564775515
38.00375,-122.35542,6.720116388461434
38.00375,-122.33875,6.865891707774746
38.00375,-122.32208,6.798472610756324
38.00375,-122.29708,7.090710233760035
38.00375,-122.26375,7.052462466974409
38.00375,-122.24708,7.0001469294545755
38.00375,-122.23042,7.027172146676643
38.00375,-122.21375,7.042006629837488
38.00375,-122.16375,6.927758537031279
38.00375,-122.11375,7.195764598016366
38.00375,-122.07208,7.086861564184662
38.00375,-122.05542,6.7278397675546255
38.00375,-122.03875,6.958059057010475
38.00375,-122.02208,6.800126535466069
38.00375,-121.95542,6.291975915433022
38.00375,-121.87208,6.649102327794956
38.00375,-121.84708,6.30115773020113
38.00375,-121.83042,6.234337493381321
38.00375,-121.79708,6.419788448021594
37.99542,-122.53875,7.371255648329133
37.99542,-122.46375,7.353550423647699
37.99542,-122.34708,6.615366467164224
37.99542,-122.33042,6.690415969845668
37.99542,-122.31375,6.85111953197558
37.99542,-122.27208,7.031626904601934
37.99542,-122.25542,7.038945050782704
37.99542,-122.23875,6.8091088188282525
37.99542,-122.19708,6.966370148652663
37.99542,-122.17208,7.016648324565669
37.99542,-122.14708,7.156014246771825
37.99542,-122.13042,7.208316631657881
37.99542,-122.09708,7.028961575935309
37.99542,-122.08042,7.120394695065181
37.99542,-122.03042,7.0832340282848945
37.99542,-121.89708,6.534499626042504
37.99542,-121.88042,6.238959688921088
37.99542,-121.86375,6.590783105545549
37.99542,-121.83875,6.171144668409237
37.99542,-121.81375,6.340977800358106
37.99542,-121.78875,6.543087276688054
37.98708,-122.53042,7.5569872512529255
37.98708,-122.51375,7.241011312726637
37.98708,-122.48042,7.257272265719944
37.98708,-122.45542,7.30983238196972
37.98708,-122.35542,6.822971896055064
37.98708,-122.33875,6.53208478535717
37.98708,-122.30542,6.598457544508012
37.98708,-122.28042,6.977131717633906
37.98708,-122.26375,6.814218391778478
37.98708,-122.23042,6.9075657058073325
37.98708,-122.18042,7.0718221426508805
37.98708,-122.12208,7.128753978277996
37.98708,-122.08875,7.106832532049743
37.98708,-122.06375,6.8255825208503325
37.98708,-122.03875,6.91113724402566
37.98708,-122.00542,7.123741316897659
37.98708,-121.98875,6.67683942752021
37.98708,-121.88875,6.993023607783469
37.98708,-121.83042,6.3341012838891535
